class,precision,recall,f1,support
Olumsuz,0.7981651376146789,0.8613861386138614,0.8285714285714286,606
Öfke / Kızgınlık,0.8004115226337448,0.8549450549450549,0.8267800212539851,455
Nötr,0.8713450292397661,0.8119891008174387,0.840620592383639,367
Olumlu,0.8467432950191571,0.8532818532818532,0.85,259
Hayal Kırıklığı,0.43781094527363185,0.704,0.5398773006134969,125
Alay / İroni,0.32967032967032966,0.5882352941176471,0.4225352112676056,102
Üzüntü / Endişe,0.3273809523809524,0.6395348837209303,0.4330708661417323,86
